id_pleito,tipo_interessado,interessado,cod_ibge,uf,num_pvl,status,num_processo,data_protocolo,tipo_operacao,finalidade,tipo_credor,credor,moeda,valor,pvl_assoc_divida,pvl_contradado_credor,data_status
12327,Estado,Bahia,29,BA,,Encaminhado à PGFN com manifestação técnica favorável,17944.001659/2008-91,2009-03-24T03:00:00Z,Operação contratual externa (com garantia da União),Fortalecimento Institucional,Instituição Financeira Internacional,Banco Interamericano de Desenvolvimento,Dólar dos EUA,409000000.0,1,0,27/03/2009
8858,Estado,Bahia,29,BA,,Encaminhado à PGFN com manifestação técnica favorável,17944.000853/2014-06,2014-07-10T03:00:00Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Internacional para Reconstrução e Desenvolvimento,Dólar dos EUA,400000000.0,1,0,16/07/2014
18495,Estado,Bahia,29,BA,,Deferido,19407.000035/2002-74,2002-06-26T03:00:00Z,Operação contratual interna,Preservação e recuperação ambiental,Instituição Financeira Nacional,Caixa Econômica Federal,Real,36887000.0,1,0,08/07/2002
18372,Estado,Bahia,29,BA,,Deferido,19407.000009/2005-99,2005-06-30T03:00:00Z,Operação contratual interna,Segurança pública,Instituição Financeira Nacional,Banco do Brasil S/A,Dólar dos EUA,16160501.26,1,0,26/07/2005
18527,Estado,Bahia,29,BA,,Deferido,19407.000043/2002-11,2002-06-21T03:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,8626204.0,1,0,05/07/2002
18583,Estado,Bahia,29,BA,,Deferido,19407.000057/2002-34,2002-06-17T03:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1303036.61,1,0,05/07/2002
64646,Estado,Bahia,29,BA,PVL02.000882/2023-98,Em retificação pelo interessado,17944.102176/2023-42,2023-05-15T14:06:51Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,150000000.0,0,0,19/05/2023
18589,Estado,Bahia,29,BA,,Deferido,19407.000058/2004-41,2005-11-11T02:00:00Z,Operação contratual interna,Multissetorial,Instituição Financeira Nacional,Banco do Nordeste do Brasil S/A,Dólar dos EUA,14000000.0,1,0,08/12/2005
18595,Estado,Bahia,29,BA,,Deferido,19407.000060/2002-58,2002-06-21T03:00:00Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1400000.0,1,0,03/07/2002
18633,Estado,Bahia,29,BA,,Deferido,19407.000073/2003-16,2004-01-30T02:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,215013214.31,1,0,18/03/2004
18531,Estado,Bahia,29,BA,,Deferido,19407.000044/2002-65,2002-06-11T03:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,7360876.68,1,0,05/07/2002
20438,Estado,Bahia,29,BA,00000.000000/2017-83,Deferido,17944.001076/2015-90,2016-03-02T18:35:28Z,Operação contratual interna,Pró-Transporte,Instituição Financeira Nacional,Caixa Econômica Federal,Real,800000000.0,1,0,31/03/2016
19016,Estado,Bahia,29,BA,00000.000000/2009-87,Encaminhado à PGFN com manifestação técnica favorável,17944.000485/2015-79,2015-11-03T02:00:00Z,Operação contratual interna (com garantia da União),Aditivo contratual,Instituição Financeira Nacional,Banco do Brasil S/A,Real,562740000.0,1,0,09/11/2015
22572,Estado,Bahia,29,BA,00000.000000/2032-81,Arquivado pela STN,17944.000644/2016-16,2016-09-08T03:00:00Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Europeu de Investimento,Dólar dos EUA,200000000.0,0,0,11/01/2019
23723,Estado,Bahia,29,BA,PVL02.000640/2016-75,Encaminhado à PGFN com manifestação técnica favorável,17944.001273/2016-90,2017-06-06T18:33:06Z,Operação contratual interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,600000000.0,1,1,12/06/2017
18591,Estado,Bahia,29,BA,,Deferido,19407.000059/2002-23,2002-06-21T03:00:00Z,Operação contratual interna,Saneamento básico,Instituição Financeira Nacional,Caixa Econômica Federal,Real,6779155.0,1,0,03/07/2002
8733,Estado,Bahia,29,BA,,Encaminhado à PGFN com manifestação técnica favorável,17944.000833/2010-01,2010-06-18T03:00:00Z,Operação contratual interna (com garantia da União),PEF - Programa Emergencial de Financiamento dos Estados/DF 2,Instituição Financeira Nacional,Banco Nacional de Desenvolvimento Econômico e Social,Real,563772000.0,1,0,30/06/2010
